,Group,Epoch,mAP
0,plain,10,0.8649862283523357
1,plain,20,0.8549367952070399
2,plain,30,0.9018718840165347
3,plain,40,0.9028129625782939
4,plain,50,0.9029927530081869
5,plain,60,0.8962355455837547
6,aug,10,0.8180028826552629
7,aug,20,0.8655284230547009
8,aug,30,0.5585271792167569
9,crop,10,0.8420538521553275
10,crop,20,0.8819759558284247
11,crop,30,0.9017802554886452
12,crop,40,0.9045352895686982
13,crop,50,0.9101436738643003
